id,item,item_text,resp
100_1088_2022,CREDI_B1,"Can the child pick up a small object (e.g., a small toy or stone) using just one hand?",1
100_1088_2022,CREDI_B10,"Can the child use gestures to indicate what he/she wants (e.g., put arms up to indicate that he/she wants to be held, or point to water)?",1
100_1088_2022,CREDI_B11,"Can the child pick up and drop a small object (e.g., a small toy or stone) into a bucket or bowl while sitting?",1
100_1088_2022,CREDI_B12,Can the child throw a small ball or stone forward using his/her hand?,0
100_1088_2022,CREDI_B13,"Can the child say one or more words (e.g., names like “mama” or “ba” for “ball”)?",0
100_1088_2022,CREDI_B14,"Does the child ask you for help using signs or words when he/she cannot do something on his/her own (e.g., to reach an object up high)?",0
100_1088_2022,CREDI_B15,"Can the child walk several steps while holding on to a person or object (e.g., wall or furniture)?",0
100_1088_2022,CREDI_B16,"Can the child follow simple directions (e.g., “stand up” or “come here”)?",0
100_1088_2022,CREDI_B17,"Can the child maintain a standing position on his/her own, without holding on or receiving support?",0
100_1088_2022,CREDI_B18,"Can the child point to a person or object when asked (e.g., “where is mama?” or “where is the ball?”)?",0
100_1088_2022,CREDI_B19,"Can the child climb onto an object, such as a chair or bench?",0
100_1088_2022,CREDI_B2,Does the child play by tapping an object on the ground or a table?,1
100_1088_2022,CREDI_B20,"Can the child kick a ball, or other round objects, forward using his/her foot?",0
100_1088_2022,CREDI_B3,Does the child intentionally move or change his/her position to get objects that are out of reach?,1
100_1088_2022,CREDI_B4,"If the child likes an object and someone hides it (e.g put it under the bedsheet or behind some object), does the child look for it?",1
100_1088_2022,CREDI_B5,Can the child hold him/herself in a sitting position without help or support for longer than a few seconds?,1
100_1088_2022,CREDI_B6,Does the child look at an object when someone says “look!” and points to it?,1
100_1088_2022,CREDI_B7,Can the child pick up and eat small pieces of food with his/her fingers?,1
100_1088_2022,CREDI_B8,"Can the child crawl, roll, or scoot forward on his/her own?",1
100_1088_2022,CREDI_B9,"Can the child transfer a small object (e.g., a small toy or stone) from one hand to the other?",1
100_1088_2022,CREDI_C1,"Can the child maintain a standing position on his/her own, without holding on or receiving support?",0
100_1088_2022,CREDI_C10,Does the child show sympathy or look concerned when others are hurt or sad?,1
100_1088_2022,CREDI_C11,Can the child run more than a few steps without falling or bumping into objects?,1
100_1088_2022,CREDI_C12,Can the child drink from a cup (without a lid) on his/her own without spilling?,1
100_1088_2022,CREDI_C13,"Can the child stack three or more small objects (e.g., blocks, cups, bottle caps) on top of each other?",0
100_1088_2022,CREDI_C14,"Can the child answer simple questions (e.g., “do you want water?”) by saying “yes” or “no,” rather than nodding?",1
100_1088_2022,CREDI_C15,"Does the child play with an object by making it something else? (e.g., imagining a bottle as a doll, a stone as a car, or a spoon as an airplane)",1
100_1088_2022,CREDI_C16,"Can the child correctly name at least one family member other than mom and dad (e.g., name of brother, sister, aunt, uncle)?",1
100_1088_2022,CREDI_C17,"Can the child ask for something (e.g., food, water) by name when he/she wants it?",1
100_1088_2022,CREDI_C18,Can the child walk backwards?,0
100_1088_2022,CREDI_C19,"If the child knows an object (like a cup or an animal) and you show it to him/her, can he/she tell its name every time?",0
100_1088_2022,CREDI_C2,"Can the child follow simple directions (e.g., “stand up” or “come here”)?",1
100_1088_2022,CREDI_C20,"Can the child say ten or more separate words (e.g., names like “mama” or objects like “ball”)?",0
100_1088_2022,CREDI_C3,"Does the child imitate others’ behavior (e.g., washing hands or dishes)?",1
100_1088_2022,CREDI_C4,Can the child climb onto an object such as a chair or bench?,1
100_1088_2022,CREDI_C5,"Is the child kind to younger children (e.g., speaks to them nicely and touches them gently)?",1
100_1088_2022,CREDI_C6,"Does the child show curiosity to learn new things (e.g., by asking questions or exploring a new area)?",1
100_1088_2022,CREDI_C7,"Can the child point to a person or object when asked (e.g., “where is mama?” or “where is the ball?”)?",1
100_1088_2022,CREDI_C8,"Can the child kick a ball, or other round objects, forward using his/her foot?",1
100_1088_2022,CREDI_C9,"Does the child involve others in play (i.e., play interactive games with other children)?",1
100_1089_2022,CREDI_D1,Can the child walk backwards?,1
100_1089_2022,CREDI_D10,"Can the child correctly use any of the words “I,” “you,” “she,” or “he” (e.g., “I go to store,” or “he eats rice”)?",0
100_1089_2022,CREDI_D11,"Can the child correctly ask questions using any of the words “what,” “which,” “where,” or “who”?",0
